Gene	VarianceMedian_Islands	VarianceMedian_PocilloGG	VarianceMedian_SymbioGG	sd_Islands	sd_PocilloGG	sd_SymbioGG	Q1_Islands	Q1_PocilloGG	Q1_SymbioGG	Q3_Islands	Q3_PocilloGG	Q3_SymbioGG	Residuals
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3870.8	0.0082	0.027	0.9145	0.0018043421783487	0.00541492005087078	0.0877584261433472	0.0075	0.0241	0.9104	0.0092	0.0299	0.9177	0.0503
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1686.2	0.0154	0	0.9141	0.0028622654856773	0	0.0878193652660519	0.0143	0	0.9135	0.0161	0	0.9154	0.0705
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold507.11	0.0564	0	0.9109	0.0124052096709114	0.00151336553064942	0.0880527960349271	0.0531	0	0.9073	0.0601	0	0.9146	0.0327
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold550.2	0.0024	0.0118	0.9097	0.00164833135695386	0.00269089370590133	0.0877129551676796	0.0017	0.0107	0.908	0.0029	0.0134	0.9119	0.0761000000000001
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold738.10	0.9086	0	0.0014	0.0874350407580481	0	0.00145300607000918	0.9066	0	6e-04	0.9122	0	0.0023	0.0900000000000001
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3062.2	0.0027	0.002	0.9062	0.0047969621715658	0.00243225612563446	0.0870120443953634	0	0.0016	0.9036	0.0053	0.0033	0.9096	0.0891
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold2787.2	0.0388	0	0.9048	0.00502969875051151	0.0015373998728409	0.0868051525878516	0.0378	0	0.9042	0.0396	0	0.9056	0.0564
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold4576.2	0.0231	0	0.9012	0.00599343535997538	0	0.0867907502106088	0.0203	0	0.8977	0.026	0	0.9044	0.0757
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold6037.1	0	0	0.9007	0.00181606920942691	0.000162365498846788	0.0863614560282876	0	0	0.8994	0	0	0.9022	0.0993000000000001
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold853.10	0	0	0.8995	0.00113291876449518	0.00023075243672392	0.0863982235501389	0	0	0.8992	1e-04	0	0.9005	0.1005
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold453.10	0.0129	0	0.8935	0.00352492628783816	0.00179286775519882	0.0857455599331539	0.0116	0	0.8927	0.014	0	0.8954	0.0936
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1032.3	0	0	0.8928	0.000911564430624116	0.000259802716652502	0.086001549356248	0	0	0.8914	0	0	0.8957	0.1072
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold7589.2	0.0112	0.0377	0.8921	0.00337152181680559	0.00641904552327163	0.0859857318822481	0.0087	0.0363	0.8907	0.0115	0.0384	0.8953	0.0590000000000001
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold822.7	0	0.0208	0.892	0	0.00512015681170202	0.0856544793248222	0	0.0196	0.8906	0	0.0223	0.8943	0.0871999999999999
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold5652.2	0.0141	0.0108	0.8914	0.00469425658141858	0.00227443689752332	0.0858228075055888	0.013	0.0097	0.8903	0.0153	0.0119	0.8937	0.0837
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1999.2	0.0276	0.0241	0.8875	0.00601295139159204	0.00496773107381494	0.0855545655416196	0.0233	0.0226	0.8855	0.029	0.0258	0.8931	0.0608000000000001
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3532.1	0.0017	0.0479	0.8862	0.00119526688609031	0.00599424885769617	0.0850447326777804	0.0011	0.0464	0.8836	0.0024	0.0503	0.8882	0.0642
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold4729.3	0.0113	0	0.8858	0.00397262356918273	0	0.0853100137367523	0.009	0	0.8841	0.0124	0	0.8887	0.1029
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold853.3	0.0644	0	0.8852	0.00882975174057594	0.00197966857469812	0.0852627357826961	0.0629	0	0.8843	0.0654	0	0.8867	0.0504
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold6085.2	0.0268	0	0.8851	0.0110455129857597	0	0.0853439019421353	0.0179	0	0.8775	0.0336	0	0.8907	0.0881
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3044.4	0.0282	0	0.8837	0.00650316841672865	0	0.0849775702552337	0.0274	0	0.8831	0.0298	0	0.8857	0.0881
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold7451.1	0.0209	0	0.8816	0.00366974942227534	0	0.0846897249216543	0.0203	0	0.8812	0.0216	0	0.8844	0.0974999999999999
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold809.13	0.0337	0.0118	0.881	0.00514876795135705	0.00484644465809619	0.0846977004434863	0.032	0.0103	0.8794	0.0352	0.014	0.8832	0.0735
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold894.14	0.0148	0	0.8791	0.00299172235515878	0	0.0845427346413162	0.0134	0	0.8781	0.0158	0	0.8817	0.1061
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold258.6	0.0348	0.0057	0.8787	0.0053816578217716	0.00288615833866186	0.0844195899430753	0.0335	0.004	0.8771	0.0362	0.007	0.8805	0.0808
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold75.3	0.0271	0.0351	0.8688	0.00540072530712471	0.00720955872457241	0.0834731593384091	0.0236	0.0333	0.8651	0.0316	0.0378	0.8729	0.069
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3816.8	0.0052	0	0.8672	0.00325139218463326	0	0.0835125992923873	0.0048	0	0.8668	0.0055	0	0.8687	0.1276
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold2548.4	0	0.0023	0.8656	0.000839551722528888	0.00237324966350814	0.083623434599012	0	0.0011	0.8644	0	0.0033	0.8675	0.1321
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1066.10	0	0.0132	0.8655	0.00259558487094724	0.0030832519205716	0.0831193240278298	0	0.0116	0.864	0.0015	0.0147	0.8675	0.1213
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold4576.3	0.0216	0	0.8654	0.00395442306458228	0.00245121999068739	0.0830438935863292	0.0199	0	0.8638	0.0236	0.0018	0.868	0.113
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold12934.2	0.0236	0	0.8653	0.0035673794385296	0	0.0832989539583005	0.022	0	0.8636	0.0252	0	0.8674	0.1111
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1923.1	0.0292	0	0.8644	0.00417950194321932	0	0.0834406078643649	0.0274	0	0.863	0.0301	0	0.8684	0.1064
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold2674.3	0.0252	0	0.8638	0.00555823309585055	0	0.0834570514758732	0.0245	0	0.8628	0.0266	0	0.8664	0.111
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold12923.1	0.0055	0	0.8633	0.00280349764554741	0	0.0831553860125837	0.004	0	0.8621	0.0073	0	0.8646	0.1312
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold18619.1	0.034	0	0.8631	0.00547920155471581	0.00772814259078466	0.082758424678396	0.0321	0	0.8617	0.0353	0	0.8653	0.1029
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold4816.6	0.0196	0.0528	0.8627	0.00581240091676936	0.00776326416350153	0.0833721385694071	0.017	0.0496	0.8573	0.0228	0.0565	0.868	0.0649
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3273.6	0	0.0455	0.8621	0.000910200061648877	0.00780555336083057	0.0829929823474628	0	0.0423	0.8563	0	0.0504	0.8671	0.0924
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold9776.2	0.8621	0	9e-04	0.08405593698225	0	0.00173012130839433	0.8615	0	5e-04	0.8625	0	0.002	0.137
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3263.1	0.0243	0.0054	0.8613	0.0139546928400305	0.00447320808300448	0.0835781956979594	0.0223	0.0027	0.8582	0.0273	0.0072	0.8646	0.109
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold6974.3	0.0295	0.0038	0.8604	0.00835918457151447	0.00299150087280071	0.082762543778785	0.0278	0.0019	0.8573	0.0314	0.0053	0.8639	0.1063
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1804.4	0	0.0055	0.8597	0.00132470641834379	0.00235432959076472	0.0830241808604175	0	0.0038	0.857	0	0.0062	0.8632	0.1348
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1066.8	0.0253	0.0063	0.8574	0.00391216465399738	0.00268359655162988	0.0824887414758428	0.0237	0.0052	0.855	0.0268	0.0079	0.8619	0.111
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold8113.1	0.0231	0.0048	0.8572	0.0053836011869121	0.003751011189977	0.0827832519962651	0.0213	0.0027	0.855	0.026	0.0071	0.8604	0.1149
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold12154.2	0.0379	0	0.8564	0.00956766857834992	0.000821122566851459	0.0823622464884191	0.0316	0	0.851	0.0427	0	0.8608	0.1057
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3891.1	0.0081	0	0.856	0.00273385726312992	0	0.0823566947587967	0.0059	0	0.8546	0.0092	0	0.8577	0.1359
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold6966.1	0.048	0.0022	0.8554	0.0236687510388496	0.00277110196784744	0.0851560898774785	0.0424	0	0.8501	0.0541	0.005	0.8607	0.0943999999999999
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1635.12	0.031	0	0.855	0.00469661172971765	0	0.0821326695727412	0.0294	0	0.8531	0.033	0	0.8573	0.114
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold7979.2	0.0049	0.0048	0.8547	0.00652034467381192	0.00502410296485125	0.0823682869342968	0.0015	0.0033	0.8512	0.0095	0.0066	0.8574	0.1356
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold2552.4	0.0335	0	0.8531	0.0132779465695429	0	0.0832859737187521	0.0311	0	0.852	0.0345	0	0.8557	0.1134
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold8061.1	0	0	0.8529	0.00148925988500894	0.000394661538799097	0.081914535408016	0	0	0.8512	0	0	0.8556	0.1471
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold7913.3	0.0212	0.0201	0.8528	0.00514619897733979	0.00697730739988554	0.0824317703528599	0.0205	0.0193	0.852	0.0221	0.0217	0.854	0.1059
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold301.1	0.0025	0	0.8524	0.00317971799440692	0	0.0818347758405138	0.0013	0	0.8494	0.0049	0	0.8546	0.1451
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold656.8	0.0474	0.8522	0.0174	0.040106732390093	0.117147428576501	0.0501660771908025	0.0446	0.8406	0.0124	0.052	0.8559	0.0208	0.0830000000000001
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3053.1	0.055	0.0183	0.8519	0.00576372418491573	0.004761300915551	0.0820579649555128	0.0541	0.0161	0.8505	0.056	0.0208	0.8552	0.0748
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold16061.1	0.0175	0	0.8509	0.00528450571762191	0	0.0821193041277843	0.0155	0	0.8495	0.0196	0	0.8535	0.1316
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold379.4	0	0	0.8493	7.66261028176921e-05	0.000772427718534347	0.0823040990969984	0	0	0.8472	0	0	0.8507	0.1507
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold7270.1	0.0185	0	0.8491	0.00612630217353345	0.00430856423765623	0.0815103210102418	0.014	0	0.8459	0.0224	0.0014	0.8518	0.1324
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold6600.1	0	0	0.8487	0	0	0.0818311587911326	0	0	0.8474	0	0	0.8537	0.1513
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold508.4	0.057	0	0.8463	0.00816761878408308	0	0.0816836681943043	0.0551	0	0.8451	0.0585	0	0.8498	0.0966999999999999
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold6028.1	0.0018	0.0082	0.846	0.00580405320781467	0.00705595963911459	0.0813833124626948	0	0.0029	0.843	0.0082	0.0141	0.8508	0.144
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold5947.2	0.0329	0	0.8437	0.0048400696492912	4.78913142610576e-05	0.0810776729037843	0.0305	0	0.842	0.0353	0	0.8464	0.1234
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold822.9	0.0148	0	0.8433	0.00526305538198	0	0.0828978739121247	0.0144	0	0.8428	0.0152	0	0.8447	0.1419
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3669.2	0.057	0	0.8421	0.0107519820929104	0	0.08115761795266	0.0497	0	0.837	0.0622	0	0.849	0.1009
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold8139.2	0.0157	0	0.8418	0.00956593194762034	0	0.0814685804929933	0.0088	0	0.8355	0.0212	0	0.8481	0.1425
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold7761.1	0.0233	0	0.8409	0.00908602822670387	0	0.0810532745146554	0.0223	0	0.8368	0.0266	0	0.842	0.1358
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3330.1	0.0077	0	0.8395	0.00249902903332718	0	0.0806973892746589	0.0062	0	0.8387	0.0083	0	0.8424	0.1528
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3959.4	0.0194	0	0.8384	0.00755158643572517	0	0.0806555315879763	0.0175	0	0.8364	0.0226	0	0.8416	0.1422
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold690.6	0.0024	0	0.8381	0.000964297247277889	0	0.0818459400862173	0.0021	0	0.8379	0.0028	0	0.8382	0.1595
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold7589.3	0	0.0524	0.8381	0	0.00895096042280692	0.0810311866987332	0	0.0513	0.8355	0	0.0545	0.8412	0.1095
Cladocopium-goreaui-C1-CDS_TaraDB-Cnidaria_scaffold8465.1	0.0227	0	0.838	0.00385669167502158	0	0.0808223915374707	0.0213	0	0.8363	0.0235	0	0.8415	0.1393
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold10081.1	0.069	0	0.8375	0.0136595341398889	0	0.0811270785429797	0.0547	0	0.8317	0.0726	0	0.8469	0.0934999999999999
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1367.3	0.0737	0.0346	0.8349	0.050615176821806	0.00513291630221508	0.0929760595183566	0.0711	0.0319	0.8317	0.0772	0.0363	0.8369	0.0568000000000001
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1749.1	0.0224	0	0.8341	0.00467753285670471	0	0.0804839459281021	0.0215	0	0.8334	0.0237	0	0.8352	0.1435
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold7057.4	0.029	4e-04	0.8336	0.00553338184521185	0.00254743813399877	0.0807625968752027	0.0277	0	0.8302	0.0311	0.0024	0.8373	0.137
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold7704.1	0.0231	0	0.8317	0.00638519300979549	0.000373281542206354	0.0798972678067914	0.0203	0	0.8303	0.0257	0	0.834	0.1452
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold5446.2	0.0211	0	0.8313	0.00620685365382384	0.00169813063056531	0.0798757090252524	0.0172	0	0.826	0.0241	5e-04	0.8346	0.1476
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold357.2	0	0	0.8307	0.000209094938174587	0.000216154416809415	0.081348395074787	0	0	0.8306	0	0	0.8307	0.1693
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold7764.2	0.0108	0	0.8302	0.00300086577155079	0	0.0798156681789368	0.009	0	0.8286	0.0129	0	0.8318	0.159
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold448.6	0.0444	0	0.8288	0.00955439387955659	0.00209687241818818	0.0798183919267504	0.0378	0	0.8238	0.049	0	0.8327	0.1268
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold455.8	0.0188	0.0057	0.8268	0.00707632122788991	0.00429613256451574	0.0800331454654175	0.017	0.0032	0.8239	0.0207	0.0081	0.8334	0.1487
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold310.5	0.044	0	0.8257	0.0167863121390423	0	0.08086360824224	0.0363	0	0.8122	0.0529	0	0.8331	0.1303
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold236.10	0.024	0.0287	0.8255	0.0343173918633356	0.00952263849470206	0.0826526896313481	0.0218	0.0256	0.8215	0.0293	0.031	0.8267	0.1218
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold8370.1	7e-04	0	0.8242	0.00380466365285855	0	0.0795356367789869	0	0	0.8233	0.0042	0	0.826	0.1751
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold143.26	0	0	0.8241	0.000451777551641487	0.000690422809684904	0.0793038016073088	0	0	0.819	0	0	0.8258	0.1759
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold10691.1	0.0198	0	0.8236	0.011432734773311	0	0.0800823545378433	0.0094	0	0.8151	0.0261	0	0.8296	0.1566
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold100.15	0.0088	0.0314	0.8234	0.00436128832820685	0.00750508944997031	0.0793242000734661	0.0062	0.0263	0.8205	0.0118	0.0349	0.83	0.1364
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold836.2	0.001	0	0.8211	0.00374999286441727	0	0.0792630038016575	0	0	0.8201	0.0029	0	0.8259	0.1779
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold941.2	0.0224	0	0.8202	0.00489392353819402	0	0.079281082479213	0.0192	0	0.8178	0.0243	0	0.8225	0.1574
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold938.1	0.0151	0	0.8184	0.00489262813401593	0	0.0790544887399965	0.0127	0	0.8175	0.0159	0	0.822	0.1665
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold23053.1	0.0266	0	0.8176	0.00665748705421169	0	0.078921531383192	0.0236	0	0.8147	0.0295	0	0.8223	0.1558
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold12760.1	0.0686	0	0.8175	0.0106430735030617	0.000760280095747039	0.0788450635435852	0.0655	0	0.8159	0.071	0	0.8201	0.1139
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold4144.2	0.0374	0	0.8158	0.00580069623341791	0.000645966864956566	0.0784060064564824	0.0353	0	0.8137	0.0402	0	0.8185	0.1468
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold1454.12	0	0.032	0.8157	0	0.00509994253530417	0.07860067555535	0	0.031	0.8129	0	0.0339	0.8208	0.1523
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold2172.2	0.0359	0	0.8153	0.00548943553386522	0	0.0784724161635087	0.0338	0	0.8134	0.0377	0	0.8177	0.1488
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3666.5	0.0083	0.0333	0.8146	0.0080092192249053	0.00914041417299143	0.0786294167064313	0.0062	0.0273	0.8122	0.0125	0.0365	0.8164	0.1438
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold5250.2	0.814	0	0.0355	0.0785594981651092	0	0.00610462175141333	0.8098	0	0.0339	0.8181	0	0.0384	0.1505
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3464.3	0.0366	0.0083	0.8106	0.00724780656240363	0.00741767090522166	0.0782833200893612	0.0332	0.0055	0.8079	0.0384	0.0114	0.8147	0.1445
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold10373.1	0.0744	0.0295	0.8103	0.0161935885111516	0.00798156195832604	0.0790767667035014	0.0656	0.0244	0.8001	0.0849	0.0308	0.8165	0.0858
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold162.1	0.0061	0	0.8098	0.00569108279482085	6.04097459918952e-05	0.0782921710989398	0.0043	0	0.8075	0.0085	0	0.8116	0.1841
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold5649.2	0.008	0	0.8087	0.00350348474645908	0.000773780320045756	0.0783653013477119	0.0063	0	0.8065	0.0092	0	0.8115	0.1833
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold2911.1	0.0431	0	0.8084	0.00634741299396346	0.000364792262110112	0.0777149552933586	0.0412	0	0.8064	0.046	0	0.8103	0.1485
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold10906.2	0.0501	0	0.8076	0.00602982774463495	0.000651321873950383	0.0776845020930393	0.0479	0	0.8057	0.0525	0	0.8103	0.1423
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold4671.3	0.0352	0.0473	0.8074	0.00530917310531324	0.008317967382693	0.0776205073530167	0.0327	0.0434	0.8039	0.0376	0.0514	0.8116	0.1101
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold4666.1	0	0	0.806	0.000985218652588392	0	0.0777434474220009	0	0	0.8039	0	0	0.8098	0.194
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold9029.1	0.0246	0	0.8058	0.00467761203674406	0	0.0778161815374693	0.0227	0	0.8045	0.0265	0	0.8124	0.1696
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3092.6	0.0802	0.0075	0.8052	0.0134504877909493	0.00753097905983865	0.0779550261209599	0.0714	0.0046	0.798	0.0849	0.0098	0.8095	0.1071
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold2053.1	0.0016	0.0663	0.805	0.00610452629205778	0.011639204025035	0.0782242239877427	0	0.0635	0.8015	0.0043	0.0692	0.8096	0.1271
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold292.1	0.0308	0.804	0	0.0049559078649512	0.0775758715457031	0	0.029	0.8024	0	0.0323	0.8089	0	0.1652
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold311.2	0.0535	0	0.8038	0.0225515967461332	0.00421518459568156	0.0785732667539412	0.0453	0	0.7941	0.0612	0	0.811	0.1427
Cladocopium-goreaui-C1-CDS_TaraDB-Symbiodinium_scaffold3597.3	0.0345	0	0.8034	0.00547173877723958	0.00294194304535168	0.0776469349927057	0.0318	0	0.8016	0.0367	0	0.808	0.1621
