Samples	Symbio_Genus	RatioD	PocilloGG	SymbioGG	Islands	Batch	TaraSampleName
I05S03C001POC	C	0	SVD5	Group3	I05	TruSeq	TARA_CO-0000948
I05S03C006POC	C	0	SVD5	Group3	I05	TruSeq	TARA_CO-0000953
I05S03C010POC	C	0	SVD4	Group4	I05	TruSeq	TARA_CO-0000957
I06S01C001POC	C	0	SVD1	Group2	I06	NEB_U2	TARA_CO-0002056
I06S01C006POC	C	0	SVD1	Group2	I06	NEB_U2	TARA_CO-0002061
I06S01C010POC	C	0	SVD4	Group4	I06	NEB_U2	TARA_CO-0002065
I06S02C001POC	C	0	SVD1	Group2	I06	NEB_U2	TARA_CO-0002126
I06S02C006POC	C	0	SVD1	Group2	I06	NEB_U2	TARA_CO-0002131
I06S02C010POC	C	0	SVD4	Group4	I06	NEB_U2	TARA_CO-0002135
I06S03C001POC	C	0	SVD1	Group2	I06	NEB_U2	TARA_CO-0002286
I06S03C006POC	C	0	SVD1	Group2	I06	NEB_U2	TARA_CO-0002291
I06S03C010POC	C	0	SVD1	Group2	I06	NEB_U2	TARA_CO-0002295
I07S01C001POC	C	0	SVD5	Group3	I07	TruSeq	TARA_CO-0002356
I07S01C006POC	C	0	SVD5	Group3	I07	TruSeq	TARA_CO-0002361
I07S01C010POC	C	0	SVD5	Group3	I07	TruSeq	TARA_CO-0002365
I07S02C001POC	C	0	SVD5	Group3	I07	TruSeq	TARA_CO-0002456
I07S02C006POC	C	0	SVD5	Group3	I07	TruSeq	TARA_CO-0002461
I07S02C010POC	C	0	SVD2	Group5	I07	TruSeq	TARA_CO-0002465
I07S03C001POC	C	0	SVD5	Group3	I07	TruSeq	TARA_CO-0002435
I07S03C006POC	C	0	SVD5	Group3	I07	TruSeq	TARA_CO-0002572
I07S03C010POC	C	0	SVD1	Group2	I07	TruSeq	TARA_CO-0002576
I08S01C001POC	C	0	SVD3	Group3	I08	TruSeq	TARA_CO-0002596
I08S01C006POC	C	0	SVD2	Group5	I08	TruSeq	TARA_CO-0002601
I08S01C010POC	C	0	SVD3	Group3	I08	TruSeq	TARA_CO-0002605
I08S02C001POC	C	0	SVD3	Group3	I08	TruSeq	TARA_CO-0002686
I08S02C006POC	C	0	SVD2	Group5	I08	TruSeq	TARA_CO-0002691
I08S02C010POC	C	0	SVD2	Group5	I08	TruSeq	TARA_CO-0002695
I08S03C001POC	C	0	SVD3	Group3	I08	TruSeq	TARA_OA-0002257
I08S03C006POC	C	0	SVD2	Group5	I08	TruSeq	TARA_OA-0002262
I08S03C010POC	C	0	SVD3	Group3	I08	TruSeq	TARA_OA-0002266
I09S01C001POC	C	0	SVD3	Group3	I09	TruSeq	TARA_OA-0002323
I09S01C006POC	C	0	SVD2	Group5	I09	TruSeq	TARA_OA-0002328
I09S01C010POC	C	0	SVD2	Group5	I09	TruSeq	TARA_OA-0002332
I09S02C001POC	C	0	SVD3	Group3	I09	TruSeq	TARA_OA-0002352
I09S02C006POC	C	0	SVD3	Group3	I09	TruSeq	TARA_FH-0000956
I09S02C010POC	C	0	SVD3	Group3	I09	TruSeq	TARA_FH-0000960
I09S03C001POC	C	0	SVD2	Group5	I09	TruSeq	TARA_OA-0002451
I09S03C006POC	C	0	SVD3	Group3	I09	TruSeq	TARA_OA-0002456
I09S03C010POC	C	0	NA	Group5	I09	TruSeq	TARA_OA-0002460
I10S01C001POC	C	0	SVD2	Group5	I10	NEB_U2	TARA_CO-0004051
I10S01C006POC	C	0	SVD3	NA	I10	NEB_U2	TARA_CO-0004036
I10S01C010POC	C	0	SVD2	Group5	I10	NEB_U2	TARA_CO-0004040
I10S02C001POC	C	0	SVD2	Group5	I10	NEB_U2	TARA_CO-0004201
I10S02C006POC	C	0	SVD2	Group5	I10	NEB_U2	TARA_CO-0004206
I10S02C010POC	C	0	SVD3	Group3	I10	NEB_U2	TARA_CO-0004210
I10S03C001POC	C	0	SVD2	Group5	I10	NEB_U2	TARA_CO-0004321
I10S03C006POC	C	0	SVD2	Group5	I10	NEB_U2	TARA_CO-0004326
I10S03C010POC	C	0	SVD2	Group5	I10	NEB_U2	TARA_CO-0004330
I15S01C001POC	C	0	SVD2	Group5	I15	NEB_U2	TARA_CO-0001811
I15S01C006POC	C	0	SVD3	Group3	I15	NEB_U2	TARA_CO-0001816
I15S01C010POC	C	0	SVD3	Group3	I15	NEB_U2	TARA_CO-0001820
I15S02C001POC	C	0	SVD3	Group3	I15	NEB_U2	TARA_CO-0001659
I15S02C006POC	C	0	SVD2	Group5	I15	NEB_U2	TARA_CO-0001664
I15S03C001POC	C	0	SVD3	Group3	I15	NEB_U2	TARA_CO-0001599
I15S03C006POC	C	0	SVD2	Group5	I15	NEB_U2	TARA_CO-0001604
I15S03C010POC	C	0	SVD3	Group3	I15	NEB_U2	TARA_CO-0001608
I01S01C001POC	CD	0,87	SVD4	CD	I01	NEB_U2	TARA_CO-0000002
I01S02C010POC	CD	0,97	SVD4	D	I01	NEB_U2	TARA_CO-0000074
I02S03C010POC	CD	0,69	SVD4	CD	I02	NEB_U2	TARA_CO-0000394
I03S01C011POC	CD	0,47	SVD4	CD	I03	TruSeq	TARA_CO-0000555
I03S01C012POC	CD	0,7	SVD4	CD	I03	TruSeq	TARA_CO-0000556
I03S01C014POC	CD	0,87	SVD4	CD	I03	TruSeq	TARA_CO-0000558
I03S01C015POC	CD	0,18	SVD4	CD	I03	TruSeq	TARA_CO-0000559
I03S01C016POC	CD	0,12	SVD4	CD	I03	TruSeq	TARA_CO-0000560
I03S01C020POC	CD	0,11	SVD4	CD	I03	TruSeq	TARA_CO-0000564
I01S01C006POC	D	1	SVD4	D	I01	NEB_U2	TARA_CO-0000019
I01S01C010POC	D	1	SVD4	D	I01	NEB_U2	TARA_CO-0000032
I02S01C001POC	D	1	SVD4	D	I02	NEB_U2	TARA_CO-0000140
I02S01C006POC	D	1	SVD4	D	I02	NEB_U2	TARA_CO-0000145
I02S01C010POC	D	1	SVD4	D	I02	NEB_U2	TARA_CO-0000149
I02S02C006POC	D	1	SVD4	D	I02	NEB_U2	TARA_CO-0000225
I02S03C001POC	D	1	SVD4	D	I02	NEB_U2	TARA_CO-0000385
I02S03C006POC	D	1	SVD4	D	I02	NEB_U2	TARA_CO-0000390
I15S02C010POC	D	1	SVD3	D	I15	NEB_U2	TARA_CO-0001668
