Gene	Length
Pmea_00000199	2193
Pmea_00000200	1623
Pmea_00000201	1473
Pmea_00000202	1848
Pmea_00000203	3915
Pmea_00000204	1323
Pmea_00000205	309
Pmea_00000206	1200
Pmea_00000207	834
Pmea_00000208	4125
Pmea_00000209	1614
Pmea_00000210	312
Pmea_00000211	375
Pmea_00000212	381
Pmea_00000213	882
Pmea_00000214	1317
Pmea_00000215	3390
Pmea_00000216	1275
Pmea_00000217	468
Pmea_00000218	255
Pmea_00000219	942
Pmea_00000220	486
Pmea_00000221	1158
Pmea_00000222	3891
Pmea_00000223	828
Pmea_00000224	2259
Pmea_00000225	2571
Pmea_00000226	1071
Pmea_00000227	2556
Pmea_00000228	1050
Pmea_00000229	3414
Pmea_00000230	705
Pmea_00000231	858
Pmea_00000232	1227
Pmea_00000233	1425
Pmea_00000234	2103
Pmea_00000235	1437
Pmea_00000236	1245
Pmea_00000237	1062
Pmea_00000238	345
Pmea_00000239	1470
Pmea_00000240	1416
Pmea_00000241	564
Pmea_00000242	417
Pmea_00000243	432
Pmea_00000244	885
Pmea_00000245	1197
Pmea_00000246	1395
Pmea_00000247	882
Pmea_00000248	372
Pmea_00000249	342
Pmea_00000250	9387
Pmea_00000251	282
Pmea_00000252	774
Pmea_00000253	327
Pmea_00000254	2196
Pmea_00000255	366
Pmea_00000256	453
Pmea_00000257	2010
Pmea_00000258	1704
Pmea_00000259	1326
Pmea_00000260	261
Pmea_00000261	3165
Pmea_00000262	993
Pmea_00000263	2688
Pmea_00000264	1332
Pmea_00000265	573
Pmea_00000266	474
Pmea_00000267	762
Pmea_00000268	894
Pmea_00000269	660
Pmea_00000270	240
Pmea_00000271	219
Pmea_00000272	1467
Pmea_00000273	879
Pmea_00000274	789
Pmea_00000275	213
Pmea_00000276	630
Pmea_00000277	231
Pmea_00000278	438
Pmea_00000279	255
Pmea_00000280	192
Pmea_00000281	852
Pmea_00000282	495
Pmea_00000283	519
Pmea_00000284	762
Pmea_00000285	987
Pmea_00000286	720
Pmea_00000287	900
Pmea_00000288	312
Pmea_00000289	336
Pmea_00000290	300
Pmea_00000291	504
Pmea_00000292	846
Pmea_00000293	486
Pmea_00000294	339
Pmea_00000295	372
Pmea_00000296	597
Pmea_00000297	336
Pmea_00000298	777
Pmea_00000299	984
Pmea_00000300	474
Pmea_00000301	384
Pmea_00000302	654
Pmea_00000303	783
Pmea_00000304	948
Pmea_00000305	1266
Pmea_00000306	2388
Pmea_00000307	897
Pmea_00000308	369
Pmea_00000309	732
Pmea_00000310	2358
Pmea_00000311	1950
Pmea_00000312	1239
Pmea_00000313	1458
Pmea_00000314	885
Pmea_00000315	960
Pmea_00000316	921
Pmea_00000317	1284
Pmea_00000318	1461
Pmea_00000319	771
Pmea_00000320	1176
Pmea_00000321	1803
Pmea_00000322	1668
Pmea_00000323	1623
Pmea_00000324	1317
Pmea_00000325	1818
Pmea_00000326	1065
Pmea_00000327	831
Pmea_00000328	417
Pmea_00000329	651
Pmea_00000330	1383
Pmea_00000331	900
Pmea_00000332	336
Pmea_00000333	408
Pmea_00000334	606
Pmea_00000335	834
Pmea_00000336	474
Pmea_00000337	147
Pmea_00000338	222
Pmea_00000339	222
Pmea_00000340	771
Pmea_00000341	276
Pmea_00000342	771
Pmea_00000343	363
Pmea_00000344	564
Pmea_00000345	264
Pmea_00000346	1950
Pmea_00000347	252
Pmea_00000348	1587
Pmea_00000349	2436
Pmea_00000350	213
Pmea_00000351	1911
Pmea_00000352	525
Pmea_00000353	1110
Pmea_00000354	981
Pmea_00000355	1197
Pmea_00000356	429
Pmea_00000357	3792
Pmea_00000358	3291
Pmea_00000359	1242
Pmea_00000360	1704
Pmea_00000361	945
Pmea_00000362	1944
Pmea_00000363	3051
Pmea_00000364	372
Pmea_00000365	474
Pmea_00000366	1674
Pmea_00000367	1017
Pmea_00000368	126
Pmea_00000369	240
Pmea_00000370	7683
Pmea_00000371	183
Pmea_00000372	2391
Pmea_00000373	2184
Pmea_00000374	621
Pmea_00000375	2238
Pmea_00000376	258
Pmea_00000377	462
Pmea_00000378	315
Pmea_00000379	279
Pmea_00000380	1599
Pmea_00000381	1395
Pmea_00000382	759
Pmea_00000383	903
Pmea_00000384	348
Pmea_00000385	3846
Pmea_00000386	390
Pmea_00000387	438
Pmea_00000388	627
Pmea_00000389	390
Pmea_00000390	324
Pmea_00000391	1170
Pmea_00000392	990
Pmea_00000393	348
Pmea_00000394	192
Pmea_00000395	1002
Pmea_00000396	987
Pmea_00000397	357
Pmea_00000398	729
Pmea_00000399	633
Pmea_00000400	303
Pmea_00000401	1683
Pmea_00000402	1020
Pmea_00000403	1317
Pmea_00000404	420
Pmea_00000405	336
Pmea_00000406	495
Pmea_00000407	285
Pmea_00000408	636
Pmea_00000409	900
Pmea_00000410	1305
Pmea_00000411	474
Pmea_00000412	1446
Pmea_00000413	348
Pmea_00000414	474
Pmea_00000415	222
Pmea_00000416	306
Pmea_00000417	666
Pmea_00000418	852
Pmea_00000419	906
Pmea_00000420	714
Pmea_00000421	282
Pmea_00000422	243
Pmea_00000423	882
Pmea_00000424	333
Pmea_00000425	327
Pmea_00000426	228
Pmea_00000427	807
Pmea_00000428	942
Pmea_00000429	459
Pmea_00000430	543
Pmea_00000431	1911
Pmea_00000432	309
Pmea_00000433	2454
Pmea_00000434	636
Pmea_00000435	423
Pmea_00000436	252
Pmea_00000437	159
Pmea_00000438	768
Pmea_00000439	900
Pmea_00000440	285
Pmea_00000441	837
Pmea_00000442	306
Pmea_00000443	387
Pmea_00000444	627
Pmea_00000445	3759
Pmea_00000446	900
Pmea_00000447	939
Pmea_00000448	474
Pmea_00000449	273
Pmea_00000450	2037
Pmea_00000451	705
Pmea_00000452	1056
Pmea_00000453	567
Pmea_00000454	1167
Pmea_00000455	1347
Pmea_00000456	3645
Pmea_00000457	2202
Pmea_00000458	291
Pmea_00000459	2934
Pmea_00000460	747
Pmea_00000461	471
Pmea_00000462	549
Pmea_00000463	366
Pmea_00000464	285
Pmea_00000465	519
Pmea_00000466	4329
Pmea_00000467	996
Pmea_00000468	519
Pmea_00000469	1932
Pmea_00000470	939
Pmea_00000471	5019
Pmea_00000472	828
Pmea_00000473	2823
Pmea_00000474	1521
Pmea_00000475	2160
Pmea_00000476	753
Pmea_00000477	1380
Pmea_00000478	579
Pmea_00000479	4179
Pmea_00000480	549
Pmea_00000481	2991
Pmea_00000482	660
Pmea_00000483	3927
Pmea_00000484	2703
Pmea_00000485	1557
Pmea_00000486	990
Pmea_00000487	639
Pmea_00000488	3075
Pmea_00000489	1623
Pmea_00000490	2847
Pmea_00000491	141
Pmea_00000492	213
Pmea_00000493	162
Pmea_00000494	1545
Pmea_00000495	2094
Pmea_00000496	483
Pmea_00000497	5883
Pmea_00000498	288
Pmea_00000499	1650
Pmea_00000500	252
Pmea_00000501	732
Pmea_00000502	225
Pmea_00000503	435
Pmea_00000504	1044
Pmea_00000505	729
Pmea_00000506	201
Pmea_00000507	540
Pmea_00000508	1194
Pmea_00000509	951
Pmea_00000510	8001
Pmea_00000511	876
Pmea_00000512	843
Pmea_00000513	1251
Pmea_00000514	2322
Pmea_00000515	2592
Pmea_00000516	840
Pmea_00000517	1026
Pmea_00000518	1092
Pmea_00000519	561
Pmea_00000520	540
Pmea_00000521	474
Pmea_00000522	228
Pmea_00000523	543
Pmea_00000524	801
Pmea_00000525	345
Pmea_00000526	504
Pmea_00000527	435
Pmea_00000528	585
Pmea_00000529	318
Pmea_00000530	1227
Pmea_00000531	285
Pmea_00000532	258
Pmea_00000533	612
Pmea_00000534	309
Pmea_00000535	315
Pmea_00000536	177
Pmea_00000537	198
Pmea_00000538	216
Pmea_00000539	462
Pmea_00000540	300
Pmea_00000541	243
Pmea_00000542	192
Pmea_00000543	342
Pmea_00000544	1842
Pmea_00000545	570
Pmea_00000546	5262
Pmea_00000547	327
Pmea_00000548	441
Pmea_00000549	147
Pmea_00000550	708
Pmea_00000551	1665
Pmea_00000552	243
Pmea_00000553	1251
Pmea_00000554	1365
Pmea_00000555	423
Pmea_00000556	459
Pmea_00000557	249
Pmea_00000558	321
Pmea_00000559	2277
Pmea_00000560	249
Pmea_00000561	1938
Pmea_00000562	1818
Pmea_00000563	1632
Pmea_00000564	273
Pmea_00000565	1923
Pmea_00000566	2892
Pmea_00000567	597
Pmea_00000568	243
Pmea_00000569	729
Pmea_00000570	390
Pmea_00000571	1419
Pmea_00000572	918
Pmea_00000573	2574
Pmea_00000574	1197
Pmea_00000575	1302
Pmea_00000576	2907
Pmea_00000577	186
Pmea_00000578	1143
Pmea_00000579	951
Pmea_00000580	378
Pmea_00000581	1077
Pmea_00000582	225
Pmea_00000583	957
Pmea_00000584	750
Pmea_00000585	420
Pmea_00000586	1299
Pmea_00000587	1584
Pmea_00000588	540
Pmea_00000589	447
Pmea_00000590	408
Pmea_00000591	717
Pmea_00000592	606
Pmea_00000593	396
Pmea_00000594	1611
Pmea_00000595	378
Pmea_00000596	507
Pmea_00000597	582
Pmea_00000598	1047
Pmea_00000599	1395
Pmea_00000600	477
Pmea_00000601	612
Pmea_00000602	2148
Pmea_00000603	1326
Pmea_00000604	1128
Pmea_00000605	573
Pmea_00000606	369
Pmea_00000607	447
Pmea_00000608	594
Pmea_00000609	780
Pmea_00000610	696
Pmea_00000611	1389
Pmea_00000612	345
Pmea_00000613	285
Pmea_00000614	465
Pmea_00000615	1257
Pmea_00000616	447
Pmea_00000617	390
Pmea_00000618	1962
Pmea_00000619	525
Pmea_00000620	387
Pmea_00000621	852
Pmea_00000622	1005
Pmea_00000623	342
Pmea_00000624	258
Pmea_00000625	138
Pmea_00000626	1041
Pmea_00000627	345
Pmea_00000628	633
Pmea_00000629	912
Pmea_00000630	744
Pmea_00000631	1077
Pmea_00000632	789
Pmea_00000633	921
Pmea_00000634	1077
Pmea_00000635	393
Pmea_00000636	279
Pmea_00000637	648
Pmea_00000638	333
Pmea_00000639	519
Pmea_00000640	171
Pmea_00000641	2547
Pmea_00000642	1296
Pmea_00000643	378
Pmea_00000644	2082
Pmea_00000645	1470
Pmea_00000646	1695
Pmea_00000647	1215
Pmea_00000648	231
Pmea_00000649	3255
Pmea_00000650	768
Pmea_00000651	258
Pmea_00000652	486
Pmea_00000653	1380
Pmea_00000654	1383
Pmea_00000655	453
Pmea_00000656	582
Pmea_00000657	1917
Pmea_00000658	237
Pmea_00000659	1038
Pmea_00000660	1299
Pmea_00000661	264
Pmea_00000662	336
Pmea_00000663	1092
Pmea_00000664	2097
Pmea_00000665	1095
Pmea_00000666	780
Pmea_00000667	1089
Pmea_00000668	339
Pmea_00000669	2127
Pmea_00000670	843
Pmea_00000671	1023
Pmea_00000672	1044
Pmea_00000673	4122
Pmea_00000674	912
Pmea_00000675	7377
Pmea_00000676	507
Pmea_00000677	2280
Pmea_00000678	1707
Pmea_00000679	1761
Pmea_00000680	5169
Pmea_00000681	993
Pmea_00000682	753
Pmea_00000683	459
Pmea_00000684	4893
Pmea_00000685	420
Pmea_00000686	963
Pmea_00000687	933
Pmea_00000688	480
Pmea_00000689	492
Pmea_00000690	906
Pmea_00000691	714
Pmea_00000692	174
Pmea_00000693	3483
Pmea_00000694	318
Pmea_00000695	2730
Pmea_00000696	2142
Pmea_00000697	291
Pmea_00000698	2589
Pmea_00000699	315
Pmea_00000700	1353
Pmea_00000701	1071
Pmea_00000702	2076
Pmea_00000703	402
Pmea_00000704	465
Pmea_00000705	1263
Pmea_00000706	627
Pmea_00000707	4938
Pmea_00000708	693
Pmea_00000709	525
Pmea_00000710	306
Pmea_00000711	1065
Pmea_00000712	783
Pmea_00000713	921
Pmea_00000714	3894
Pmea_00000715	657
Pmea_00000716	831
Pmea_00000717	930
Pmea_00000718	915
Pmea_00000719	933
Pmea_00000720	1008
Pmea_00000721	687
Pmea_00000722	984
Pmea_00000723	351
Pmea_00000724	690
Pmea_00000725	192
Pmea_00000726	804
Pmea_00000727	909
Pmea_00000728	1107
Pmea_00000729	969
Pmea_00000730	1284
Pmea_00000731	1986
Pmea_00000732	678
Pmea_00000733	1263
Pmea_00000734	3054
Pmea_00000735	819
Pmea_00000736	2331
Pmea_00000737	1029
Pmea_00000738	5664
Pmea_00000739	1065
Pmea_00000740	453
Pmea_00000741	1143
Pmea_00000742	1482
Pmea_00000743	3993
Pmea_00000744	1092
Pmea_00000745	639
Pmea_00000746	957
Pmea_00000747	1002
Pmea_00000748	1674
Pmea_00000749	462
Pmea_00000750	4419
Pmea_00000751	1278
Pmea_00000752	3192
Pmea_00000753	825
Pmea_00000754	1167
Pmea_00000755	1086
Pmea_00000756	3453
Pmea_00000757	3360
Pmea_00000758	1749
Pmea_00000759	1662
Pmea_00000760	3114
Pmea_00000761	4776
Pmea_00000762	2892
Pmea_00000763	1113
Pmea_00000764	900
Pmea_00000765	513
Pmea_00000766	585
Pmea_00000767	234
Pmea_00000768	4905
Pmea_00000769	243
Pmea_00000770	567
Pmea_00000771	978
Pmea_00000772	1173
Pmea_00000773	2145
Pmea_00000774	837
Pmea_00000775	195
Pmea_00000776	756
Pmea_00000777	2907
Pmea_00000778	333
Pmea_00000779	237
Pmea_00000780	330
Pmea_00000781	1176
Pmea_00000782	786
Pmea_00000783	711
Pmea_00000784	951
Pmea_00000785	936
Pmea_00000786	699
Pmea_00000787	336
Pmea_00000788	801
Pmea_00000789	636
Pmea_00000790	249
Pmea_00000791	5595
Pmea_00000792	2250
Pmea_00000793	150
Pmea_00000794	315
Pmea_00000795	858
Pmea_00000796	1554
Pmea_00000797	1563
Pmea_00000798	975
Pmea_00000799	1299
Pmea_00000800	930
Pmea_00000801	1635
Pmea_00000802	354
Pmea_00000803	885
Pmea_00000804	1023
Pmea_00000805	1860
Pmea_00000806	771
Pmea_00000807	1746
Pmea_00000808	990
Pmea_00000809	324
Pmea_00000810	834
Pmea_00000811	846
Pmea_00000812	888
Pmea_00000813	294
Pmea_00000814	726
Pmea_00000815	942
Pmea_00000816	666
Pmea_00000817	1377
Pmea_00000818	1656
Pmea_00000819	522
Pmea_00000820	189
Pmea_00000821	540
Pmea_00000822	291
Pmea_00000823	1581
Pmea_00000824	1467
Pmea_00000825	618
Pmea_00000826	6444
Pmea_00000827	3561
Pmea_00000828	672
Pmea_00000829	2394
Pmea_00000830	369
Pmea_00000831	651
Pmea_00000832	1671
Pmea_00000833	1617
Pmea_00000834	681
Pmea_00000835	993
Pmea_00000836	198
Pmea_00000837	600
Pmea_00000838	1392
Pmea_00000839	879
Pmea_00000840	438
Pmea_00000841	867
Pmea_00000842	765
Pmea_00000843	669
Pmea_00000844	858
Pmea_00000845	1296
Pmea_00000846	444
Pmea_00000847	1413
Pmea_00000848	1131
Pmea_00000849	315
Pmea_00000850	219
Pmea_00000851	675
Pmea_00000852	603
Pmea_00000853	630
Pmea_00000854	1983
Pmea_00000855	348
Pmea_00000856	312
Pmea_00000857	393
Pmea_00000858	567
Pmea_00000859	4014
Pmea_00000860	2046
Pmea_00000861	582
Pmea_00000862	360
Pmea_00000863	2046
Pmea_00000864	1050
Pmea_00000865	540
Pmea_00000866	1101
Pmea_00000867	312
Pmea_00000868	492
Pmea_00000869	510
Pmea_00000870	1002
Pmea_00000871	765
Pmea_00000872	636
Pmea_00000873	1155
Pmea_00000874	807
Pmea_00000875	837
Pmea_00000876	498
Pmea_00000877	474
Pmea_00000878	480
Pmea_00000879	324
Pmea_00000880	1050
Pmea_00000881	3369
Pmea_00000882	333
Pmea_00000883	876
Pmea_00000884	429
Pmea_00000885	300
Pmea_00000886	399
Pmea_00000887	600
Pmea_00000888	297
Pmea_00000889	315
Pmea_00000890	813
Pmea_00000891	438
Pmea_00000892	282
Pmea_00000893	351
Pmea_00000894	147
Pmea_00000895	1563
Pmea_00000896	333
Pmea_00000897	1671
Pmea_00000898	663
Pmea_00000899	207
Pmea_00000900	270
Pmea_00000901	327
Pmea_00000902	363
Pmea_00000903	861
Pmea_00000904	1254
Pmea_00000905	795
Pmea_00000906	5061
Pmea_00000907	1008
Pmea_00000908	1506
Pmea_00000909	534
Pmea_00000910	306
Pmea_00000911	2640
Pmea_00000912	288
Pmea_00000913	492
Pmea_00000914	1029
Pmea_00000915	1692
Pmea_00000916	408
Pmea_00000917	324
Pmea_00000918	846
Pmea_00000919	5373
Pmea_00000920	1044
Pmea_00000921	1176
Pmea_00000922	651
Pmea_00000923	2163
Pmea_00000924	1668
Pmea_00000925	951
Pmea_00000926	1830
Pmea_00000927	2658
Pmea_00000928	633
Pmea_00000929	3315
Pmea_00000930	666
Pmea_00000931	738
Pmea_00000932	306
Pmea_00000933	753
Pmea_00000934	1161
Pmea_00000935	3291
Pmea_00000936	1032
Pmea_00000937	3408
Pmea_00000938	2358
Pmea_00000939	855
Pmea_00000940	357
Pmea_00000941	2886
Pmea_00000942	1287
Pmea_00000943	2763
Pmea_00000944	4467
Pmea_00000945	714
Pmea_00000946	2259
Pmea_00000947	2340
Pmea_00000948	1824
Pmea_00000949	6843
Pmea_00000950	939
Pmea_00000951	1530
Pmea_00000952	1926
Pmea_00000953	279
Pmea_00000954	231
Pmea_00000955	2697
Pmea_00000956	399
Pmea_00000957	1641
Pmea_00000958	2064
Pmea_00000959	7980
Pmea_00000960	462
Pmea_00000961	1719
Pmea_00000962	2157
Pmea_00000963	777
Pmea_00000964	1968
Pmea_00000965	174
Pmea_00000966	1467
Pmea_00000967	1239
Pmea_00000968	297
Pmea_00000969	897
Pmea_00000970	1710
Pmea_00000971	168
Pmea_00000972	1269
Pmea_00000973	2568
Pmea_00000974	330
Pmea_00000975	909
Pmea_00000976	222
Pmea_00000977	1344
Pmea_00000978	2757
Pmea_00000979	1053
Pmea_00000980	1305
Pmea_00000981	1326
Pmea_00000982	2631
Pmea_00000983	1413
Pmea_00000984	1065
Pmea_00000985	1071
Pmea_00000986	2544
Pmea_00000987	4122
Pmea_00000988	3771
Pmea_00000989	1245
Pmea_00000990	1086
Pmea_00000991	1044
Pmea_00000992	384
Pmea_00000993	2640
Pmea_00000994	345
Pmea_00000995	3981
Pmea_00000996	3225
Pmea_00000997	1878
Pmea_00000998	1200
Pmea_00000999	930
Pmea_00001000	1305
Pmea_00001001	1494
Pmea_00001002	414
Pmea_00001003	1590
Pmea_00001004	510
Pmea_00001005	1932
Pmea_00001006	447
Pmea_00001007	444
Pmea_00001008	900
Pmea_00001009	237
Pmea_00001010	1047
Pmea_00001011	2451
Pmea_00001012	5319
Pmea_00001013	2421
Pmea_00001014	993
Pmea_00001015	2913
Pmea_00001016	1347
Pmea_00001017	1713
Pmea_00001018	1815
Pmea_00001019	2568
Pmea_00001020	3435
Pmea_00001021	2259
Pmea_00001022	3087
Pmea_00001023	813
Pmea_00001024	2481
Pmea_00001025	855
Pmea_00001026	1746
Pmea_00001027	1800
Pmea_00001028	1347
Pmea_00001029	1653
Pmea_00001030	1341
Pmea_00001031	348
Pmea_00001032	621
Pmea_00001033	993
Pmea_00001034	1803
Pmea_00001035	933
Pmea_00001036	717
Pmea_00001037	471
Pmea_00001038	10770
Pmea_00001039	741
Pmea_00001040	750
Pmea_00001041	1161
Pmea_00001042	141
Pmea_00001043	3483
Pmea_00001044	3120
Pmea_00001045	255
Pmea_00001046	1614
Pmea_00001047	639
Pmea_00001048	594
Pmea_00001049	426
Pmea_00001050	267
Pmea_00001051	552
Pmea_00001052	348
Pmea_00001053	963
Pmea_00001054	486
Pmea_00001055	294
Pmea_00001056	1746
Pmea_00001057	2814
Pmea_00001058	366
Pmea_00001059	258
Pmea_00001060	2247
Pmea_00001061	576
Pmea_00001062	1542
Pmea_00001063	1014
Pmea_00001064	1194
Pmea_00001065	1281
Pmea_00001066	888
Pmea_00001067	2316
Pmea_00001068	2328
Pmea_00001069	9654
Pmea_00001070	1635
Pmea_00001071	972
Pmea_00001072	1236
Pmea_00001073	1335
Pmea_00001074	840
Pmea_00001075	3378
Pmea_00001076	1158
Pmea_00001077	1284
Pmea_00001078	4029
Pmea_00001079	813
Pmea_00001080	693
Pmea_00001081	1503
Pmea_00001082	1722
Pmea_00001083	456
Pmea_00001084	1002
Pmea_00001085	1104
Pmea_00001086	294
Pmea_00001087	567
Pmea_00001088	660
Pmea_00001089	1383
Pmea_00001090	450
Pmea_00001091	660
Pmea_00001092	558
Pmea_00001093	1146
Pmea_00001094	363
Pmea_00001095	246
Pmea_00001096	942
Pmea_00001097	306
Pmea_00001098	333
Pmea_00001099	864
Pmea_00001100	447
Pmea_00001101	345
Pmea_00001102	663
Pmea_00001103	342
Pmea_00001104	888
Pmea_00001105	900
Pmea_00001106	777
Pmea_00001107	453
Pmea_00001108	732
Pmea_00001109	966
Pmea_00001110	843
Pmea_00001111	417
Pmea_00001112	1596
Pmea_00001113	2748
Pmea_00001114	243
Pmea_00001115	741
Pmea_00001116	423
Pmea_00001117	4821
Pmea_00001118	1071
Pmea_00001119	477
Pmea_00001120	405
Pmea_00001121	186
Pmea_00001122	1635
Pmea_00001123	621
Pmea_00001124	2052
Pmea_00001125	1233
Pmea_00001126	1137
Pmea_00001127	804
Pmea_00001128	1698
Pmea_00001129	636
Pmea_00001130	312
Pmea_00001131	2556
Pmea_00001132	2163
Pmea_00001133	738
Pmea_00001134	1794
Pmea_00001135	4593
Pmea_00001136	1680
Pmea_00001137	984
Pmea_00001138	1713
Pmea_00001139	2412
Pmea_00001140	318
Pmea_00001141	702
Pmea_00001142	786
Pmea_00001143	1686
Pmea_00001144	2292
Pmea_00001145	618
Pmea_00001146	1536
Pmea_00001147	1674
Pmea_00001148	936
Pmea_00001149	2466
Pmea_00001150	2394
Pmea_00001151	3885
Pmea_00001152	198
Pmea_00001153	840
Pmea_00001154	2016
Pmea_00001155	897
Pmea_00001156	2115
Pmea_00001157	2715
Pmea_00001158	2295
Pmea_00001159	1800
Pmea_00001160	4095
Pmea_00001161	2673
Pmea_00001162	2520
Pmea_00001163	4869
Pmea_00001164	900
Pmea_00001165	5301
Pmea_00001166	1284
Pmea_00001167	663
Pmea_00001168	8130
Pmea_00001169	1335
Pmea_00001170	2355
Pmea_00001171	1395
Pmea_00001172	4131
Pmea_00001173	4236
Pmea_00001174	5067
Pmea_00001175	2337
Pmea_00001176	1074
Pmea_00001177	1092
Pmea_00001178	393
Pmea_00001179	594
Pmea_00001180	1089
Pmea_00001181	483
Pmea_00001182	1545
Pmea_00001183	705
Pmea_00001184	1956
Pmea_00001185	336
Pmea_00001186	321
Pmea_00001187	447
Pmea_00001188	504
Pmea_00001189	438
Pmea_00001190	720
Pmea_00001191	1962
Pmea_00001192	1965
Pmea_00001193	957
Pmea_00001194	1158
Pmea_00001195	1671
Pmea_00001196	1014
Pmea_00001197	1680
Pmea_00001198	333
Pmea_00001199	987
Pmea_00001200	1059
Pmea_00001201	5853
Pmea_00001202	3831
Pmea_00001203	3231
Pmea_00001204	2949
Pmea_00001205	1305
Pmea_00001206	1260
Pmea_00001207	213
Pmea_00001208	345
Pmea_00001209	432
Pmea_00001210	1623
Pmea_00001211	267
Pmea_00001212	1266
Pmea_00001213	1035
Pmea_00001214	993
Pmea_00001215	3675
Pmea_00001216	387
Pmea_00001217	933
Pmea_00001218	927
Pmea_00001219	2067
Pmea_00001220	720
Pmea_00001221	2121
Pmea_00001222	834
Pmea_00001223	600
Pmea_00001224	432
